N_orbits,3
N_sat,3
j,14
k,1
T,6154.577971428572
r_p,6953137.0
e,0.04209467361850083
a,7258689.150696732
r_a,7564241.301393464
i,1.5707963267948966
DeltaL,0.4487989505128276
DeltaL1,-0.448798950512827
DeltaL2,-4.841082354027837e-19
omega,0.8726646259971648
OMEGA,0.2991993003418851
nu,0
eclipse_time,2185.346168146144
rho,
FoV_PL,
Temporal_Res,
mass,
frontal_area,
name,Sat3
reference_area,
drag_coefficient,
radiation_reference_area,
solar_pressure_coefficient,
